parcel_id,fk_order_id,№ in order,parcel_status,parcel_created_date,qt_in_parcel,coil_name,parcel_name
332,DEV240701432,2,0,2024-11-06,1500.0,,
333,DEV240701432,3,0,2024-11-06,1500.0,,
334,DEV240701432,4,0,2024-11-08,1500.0,,
335,DEV240701432,5,0,2024-11-11,1500.0,,
336,DEV240701432,6,0,2024-11-12,1500.0,,
337,DEV240701432,7,0,2024-11-13,1500.0,,
338,DEV240701432,8,0,2024-11-13,1500.0,,
339,DEV240701432,9,0,2024-11-14,1500.0,,
340,DEV240701432,10,0,2024-11-14,1500.0,,
341,DEV240701432,11,0,2024-11-16,1500.0,,
342,DEV240701432,12,0,2024-11-18,1500.0,,
343,DEV240701432,13,0,2024-11-18,1500.0,,
344,DEV240701432,14,0,2024-11-18,1500.0,,
345,DEV240701432,15,0,2024-11-18,1500.0,,
346,DEV240701432,16,0,2024-11-19,1500.0,,
347,DEV240701432,17,0,2024-11-19,1500.0,,
348,DEV240701432,18,0,2024-11-19,1500.0,,
349,DEV240701432,19,0,2024-11-20,1500.0,,
350,DEV240701432,20,0,2024-11-22,0.0,,
351,DEV240701433,1,0,2024-11-06,1500.0,,
352,DEV240701433,2,0,2024-11-06,1500.0,,
353,DEV240701433,3,0,2024-11-06,1500.0,,
354,DEV240701433,4,0,2024-11-06,1500.0,,
355,DEV240701433,5,0,2024-11-08,1500.0,,
356,DEV240701433,6,0,2024-11-08,1500.0,,
357,DEV240701433,7,0,2024-11-09,1500.0,,
358,DEV240701433,8,0,2024-11-12,1500.0,,
359,DEV240701433,9,0,2024-11-13,1500.0,,
360,DEV240701433,10,0,2024-11-15,0.0,,
361,BIL248961442,1,0,2024-11-06,1500.0,,
362,BIL248961442,2,0,2024-11-07,1500.0,,
363,BIL248961442,3,0,2024-11-07,1500.0,,
364,BIL248961442,4,0,2024-11-07,1500.0,,
365,BIL248961442,5,0,2024-11-08,1500.0,,
366,BIL248961442,6,0,2024-11-09,1500.0,,
367,BIL248961442,7,0,2024-11-11,1500.0,,
368,BIL248961442,8,0,2024-11-11,1500.0,,
369,BIL248961442,9,0,2024-11-13,1500.0,,
370,BIL248961442,10,0,2024-11-13,1500.0,,
371,BIL248961442,11,0,2024-11-13,1500.0,,
372,BIL248961442,12,0,2024-11-14,1500.0,,
373,BIL248961442,13,0,2024-11-15,1500.0,,
374,BIL248961442,14,0,2024-11-17,1500.0,,
375,BIL248961442,15,0,2024-11-20,1500.0,,
376,BIL248961442,16,0,2024-11-22,1500.0,,
377,BIL248961442,17,0,2024-11-22,1500.0,,
378,BIL248961442,18,0,2024-11-22,1500.0,,
379,BIL248961442,19,0,2024-11-23,1500.0,,
380,BIL248961442,20,0,2024-11-23,1500.0,,
381,BIL248961442,21,0,2024-11-23,1500.0,,
382,BIL248961442,22,0,2024-11-25,1500.0,,
383,BIL248961442,23,0,2024-11-26,1500.0,,
384,BIL248961442,24,0,2024-11-26,1500.0,,
385,BIL248961442,25,0,2024-11-26,1500.0,,
386,BIL248961442,26,0,2024-11-26,1500.0,,
